,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Aaron Ramsdale,G,1,Mar 4,ARS,BOU,W 3-2,5.5,90,1
1,Aaron Ramsdale,G,1,Mar 1,ARS,EVE,W 4-0,20.0,90,1
2,Aaron Ramsdale,G,1,Feb 25,ARS,@LEI,W 1-0,12.0,90,1
3,Aaron Ramsdale,G,1,Feb 18,ARS,@AVL,W 4-2,7.0,90,1
4,Aaron Ramsdale,G,1,Feb 15,ARS,MCI,L 1-3,6.0,90,1
5,Aaron Ramsdale,G,1,Feb 11,ARS,BRF,T 1-1,4.5,90,1
6,Aaron Ramsdale,G,1,Feb 4,ARS,@EVE,L 0-1,8.0,90,1
7,Aaron Ramsdale,G,1,Jan 22,ARS,MUN,W 3-2,5.5,90,1
8,Aaron Ramsdale,G,1,Jan 15,ARS,@TOT,W 2-0,23.5,90,1
9,Aaron Ramsdale,G,1,Jan 3,ARS,NEW,T 0-0,14.0,90,1
10,Aaron Ramsdale,G,1,Dec 31,ARS,@BHA,W 4-2,9.0,90,1
11,Aaron Ramsdale,G,1,Dec 26,ARS,WHU,W 3-1,8.5,90,1
12,Aaron Ramsdale,G,1,Nov 12,ARS,@WOL,W 2-0,15.0,90,1
13,Aaron Ramsdale,G,1,Nov 6,ARS,@CHE,W 1-0,14.0,90,1
14,Aaron Ramsdale,G,1,Oct 30,ARS,NOT,W 5-0,15.5,90,1
15,Aaron Ramsdale,G,1,Oct 23,ARS,@SOU,T 1-1,6.0,90,1
16,Aaron Ramsdale,G,1,Oct 16,ARS,@LEE,W 1-0,19.0,90,1
17,Aaron Ramsdale,G,1,Oct 9,ARS,LIV,W 3-2,6.5,90,1
18,Aaron Ramsdale,G,1,Oct 1,ARS,TOT,W 3-1,7.5,90,1
19,Aaron Ramsdale,G,1,Sep 18,ARS,@BRF,W 3-0,15.0,90,1
20,Aaron Ramsdale,G,1,Sep 4,ARS,@MUN,L 1-3,7.0,90,1
21,Aaron Ramsdale,G,1,Aug 31,ARS,AVL,W 2-1,7.0,90,1
22,Aaron Ramsdale,G,1,Aug 27,ARS,FUL,W 2-1,6.0,90,1
23,Aaron Ramsdale,G,1,Aug 20,ARS,@BOU,W 3-0,15.0,90,1
24,Aaron Ramsdale,G,1,Aug 13,ARS,LEI,W 4-2,4.5,90,1
25,Aaron Ramsdale,G,1,Aug 5,ARS,@CRY,W 2-0,16.0,90,1
0,Takehiro Tomiyasu,D,2,Mar 4,ARS,BOU,W 3-2,5.0,45,1
1,Takehiro Tomiyasu,D,2,Feb 25,ARS,@LEI,W 1-0,0.5,1,0
2,Takehiro Tomiyasu,D,2,Feb 18,ARS,@AVL,W 4-2,1.25,10,0
3,Takehiro Tomiyasu,D,2,Feb 15,ARS,MCI,L 1-3,3.1,82,1
4,Takehiro Tomiyasu,D,2,Feb 4,ARS,@EVE,L 0-1,3.25,4,0
5,Takehiro Tomiyasu,D,2,Jan 22,ARS,MUN,W 3-2,14.35,45,0
6,Takehiro Tomiyasu,D,2,Jan 15,ARS,@TOT,W 2-0,2.0,3,0
7,Takehiro Tomiyasu,D,2,Jan 3,ARS,NEW,T 0-0,1.5,13,0
8,Takehiro Tomiyasu,D,2,Dec 31,ARS,@BHA,W 4-2,1.6,29,0
9,Takehiro Tomiyasu,D,2,Oct 30,ARS,NOT,W 5-0,15.0,62,1
10,Takehiro Tomiyasu,D,2,Oct 23,ARS,@SOU,T 1-1,9.85,90,1
11,Takehiro Tomiyasu,D,2,Oct 16,ARS,@LEE,W 1-0,15.55,90,1
12,Takehiro Tomiyasu,D,2,Oct 9,ARS,LIV,W 3-2,8.6,90,1
13,Takehiro Tomiyasu,D,2,Oct 1,ARS,TOT,W 3-1,0.5,1,0
14,Takehiro Tomiyasu,D,2,Sep 18,ARS,@BRF,W 3-0,1.25,3,0
15,Takehiro Tomiyasu,D,2,Sep 4,ARS,@MUN,L 1-3,2.25,9,0
16,Takehiro Tomiyasu,D,2,Aug 31,ARS,AVL,W 2-1,6.75,24,0
17,Takehiro Tomiyasu,D,2,Aug 27,ARS,FUL,W 2-1,1.75,1,0
18,Takehiro Tomiyasu,D,2,Aug 20,ARS,@BOU,W 3-0,2.35,15,0
19,Takehiro Tomiyasu,D,2,Aug 13,ARS,LEI,W 4-2,-0.75,14,0
0,Ben White,D,2,Mar 4,ARS,BOU,W 3-2,13.85,45,0
1,Ben White,D,2,Mar 1,ARS,EVE,W 4-0,15.6,90,1
2,Ben White,D,2,Feb 25,ARS,@LEI,W 1-0,14.25,90,1
3,Ben White,D,2,Feb 18,ARS,@AVL,W 4-2,5.25,78,1
4,Ben White,D,2,Feb 15,ARS,MCI,L 1-3,2.0,6,0
5,Ben White,D,2,Feb 11,ARS,BRF,T 1-1,8.45,90,1
6,Ben White,D,2,Feb 4,ARS,@EVE,L 0-1,4.1,84,1
7,Ben White,D,2,Jan 22,ARS,MUN,W 3-2,3.1,45,1
8,Ben White,D,2,Jan 15,ARS,@TOT,W 2-0,15.05,90,1
9,Ben White,D,2,Jan 3,ARS,NEW,T 0-0,15.85,75,1
10,Ben White,D,2,Dec 31,ARS,@BHA,W 4-2,6.85,59,1
11,Ben White,D,2,Dec 26,ARS,WHU,W 3-1,9.65,90,1
12,Ben White,D,2,Nov 12,ARS,@WOL,W 2-0,16.75,90,1
13,Ben White,D,2,Nov 6,ARS,@CHE,W 1-0,13.15,90,1
14,Ben White,D,2,Oct 30,ARS,NOT,W 5-0,13.8,90,1
15,Ben White,D,2,Oct 23,ARS,@SOU,T 1-1,13.45,71,1
16,Ben White,D,2,Oct 16,ARS,@LEE,W 1-0,14.6,75,1
17,Ben White,D,2,Oct 9,ARS,LIV,W 3-2,5.45,90,1
18,Ben White,D,2,Oct 1,ARS,TOT,W 3-1,13.8,88,1
19,Ben White,D,2,Sep 18,ARS,@BRF,W 3-0,16.05,85,1
20,Ben White,D,2,Sep 4,ARS,@MUN,L 1-3,3.25,79,1
21,Ben White,D,2,Aug 31,ARS,AVL,W 2-1,12.25,64,1
22,Ben White,D,2,Aug 27,ARS,FUL,W 2-1,5.25,90,1
23,Ben White,D,2,Aug 20,ARS,@BOU,W 3-0,15.1,73,1
24,Ben White,D,2,Aug 13,ARS,LEI,W 4-2,4.95,74,1
