,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Gavin Bazunu,G,1,Oct 8,SOU,@MCI,L 0-4,8.5,90,1
1,Gavin Bazunu,G,1,Oct 1,SOU,EVE,L 1-2,8.0,90,1
2,Gavin Bazunu,G,1,Sep 16,SOU,@AVL,L 0-1,6.5,90,1
3,Gavin Bazunu,G,1,Sep 3,SOU,@WOL,L 0-1,5.5,90,1
4,Gavin Bazunu,G,1,Aug 30,SOU,CHE,W 2-1,9.5,90,1
5,Gavin Bazunu,G,1,Aug 27,SOU,MUN,L 0-1,10.5,90,1
6,Gavin Bazunu,G,1,Aug 20,SOU,@LEI,W 2-1,4.5,90,1
7,Gavin Bazunu,G,1,Aug 13,SOU,LEE,T 2-2,7.5,90,1
8,Gavin Bazunu,G,1,Aug 6,SOU,@TOT,L 1-4,9.0,90,1
0,Kyle Walker-Peters,D,2,Oct 8,SOU,@MCI,L 0-4,5.2,78,1
1,Kyle Walker-Peters,D,2,Oct 1,SOU,EVE,L 1-2,9.55,90,1
2,Kyle Walker-Peters,D,2,Sep 16,SOU,@AVL,L 0-1,10.25,90,1
3,Kyle Walker-Peters,D,2,Sep 3,SOU,@WOL,L 0-1,8.35,90,1
4,Kyle Walker-Peters,D,2,Aug 30,SOU,CHE,W 2-1,6.2,90,1
5,Kyle Walker-Peters,D,2,Aug 27,SOU,MUN,L 0-1,9.25,90,1
6,Kyle Walker-Peters,D,2,Aug 20,SOU,@LEI,W 2-1,9.8,90,1
7,Kyle Walker-Peters,D,2,Aug 13,SOU,LEE,T 2-2,17.8,90,1
8,Kyle Walker-Peters,D,2,Aug 6,SOU,@TOT,L 1-4,5.65,88,1
0,Yan Valery,D,2,Aug 6,SOU,@TOT,L 1-4,0.55,45,1
0,Armel Bella Kotchap,D,2,Oct 8,SOU,@MCI,L 0-4,7.2,90,1
1,Armel Bella Kotchap,D,2,Oct 1,SOU,EVE,L 1-2,8.85,90,1
