,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Robert Sanchez,G,1,Oct 1,BHA,@LIV,T 3-3,10.0,90,1
1,Robert Sanchez,G,1,Sep 4,BHA,LEI,W 5-2,5.5,90,1
2,Robert Sanchez,G,1,Aug 30,BHA,@FUL,L 1-2,5.5,90,1
3,Robert Sanchez,G,1,Aug 27,BHA,LEE,W 1-0,15.5,90,1
4,Robert Sanchez,G,1,Aug 21,BHA,@WHU,W 2-0,18.5,90,1
5,Robert Sanchez,G,1,Aug 13,BHA,NEW,T 0-0,13.5,90,1
6,Robert Sanchez,G,1,Aug 7,BHA,@MUN,W 2-1,11.5,90,1
0,Tariq Lamptey,D,2,Oct 1,BHA,@LIV,T 3-3,1.0,2,0
1,Tariq Lamptey,D,2,Sep 4,BHA,LEI,W 5-2,0.5,1,0
2,Tariq Lamptey,D,2,Aug 30,BHA,@FUL,L 1-2,9.25,25,0
3,Tariq Lamptey,D,2,Aug 27,BHA,LEE,W 1-0,3.35,19,0
4,Tariq Lamptey,D,2,Aug 13,BHA,NEW,T 0-0,1.0,14,0
5,Tariq Lamptey,D,2,Aug 7,BHA,@MUN,W 2-1,2.0,14,0
0,Joel Veltman,D,2,Oct 1,BHA,@LIV,T 3-3,7.45,90,1
1,Joel Veltman,D,2,Sep 4,BHA,LEI,W 5-2,5.25,90,1
2,Joel Veltman,D,2,Aug 30,BHA,@FUL,L 1-2,4.85,63,1
3,Joel Veltman,D,2,Aug 27,BHA,LEE,W 1-0,13.5,69,1
4,Joel Veltman,D,2,Aug 21,BHA,@WHU,W 2-0,16.5,90,1
5,Joel Veltman,D,2,Aug 13,BHA,NEW,T 0-0,18.25,90,1
6,Joel Veltman,D,2,Aug 7,BHA,@MUN,W 2-1,11.85,90,1
0,Lewis Dunk,D,2,Oct 1,BHA,@LIV,T 3-3,5.75,90,1
1,Lewis Dunk,D,2,Sep 4,BHA,LEI,W 5-2,4.55,90,1
2,Lewis Dunk,D,2,Aug 30,BHA,@FUL,L 1-2,4.45,90,1
3,Lewis Dunk,D,2,Aug 27,BHA,LEE,W 1-0,14.25,90,1
4,Lewis Dunk,D,2,Aug 21,BHA,@WHU,W 2-0,16.3,90,1
5,Lewis Dunk,D,2,Aug 13,BHA,NEW,T 0-0,15.95,90,1
6,Lewis Dunk,D,2,Aug 7,BHA,@MUN,W 2-1,5.5,90,1
0,Adam Webster,D,2,Oct 1,BHA,@LIV,T 3-3,6.55,90,1
1,Adam Webster,D,2,Sep 4,BHA,LEI,W 5-2,6.75,90,1
2,Adam Webster,D,2,Aug 30,BHA,@FUL,L 1-2,5.8,90,1
3,Adam Webster,D,2,Aug 27,BHA,LEE,W 1-0,16.45,90,1
4,Adam Webster,D,2,Aug 21,BHA,@WHU,W 2-0,15.3,90,1
5,Adam Webster,D,2,Aug 13,BHA,NEW,T 0-0,14.55,90,1
6,Adam Webster,D,2,Aug 7,BHA,@MUN,W 2-1,8.3,90,1
0,Jan-Paul van Hecke,D,2,Aug 27,BHA,LEE,W 1-0,0.75,1,0
0,Pervis Estupinan,D,2,Oct 1,BHA,@LIV,T 3-3,8.2,75,1
1,Pervis Estupinan,D,2,Sep 4,BHA,LEI,W 5-2,0.5,1,0
2,Pervis Estupinan,D,2,Aug 30,BHA,@FUL,L 1-2,7.85,62,1
3,Pervis Estupinan,D,2,Aug 27,BHA,LEE,W 1-0,18.5,78,1
4,Pervis Estupinan,D,2,Aug 21,BHA,@WHU,W 2-0,2.6,26,0
0,Levi Colwill,D,2,Aug 27,BHA,LEE,W 1-0,3.6,10,0
1,Levi Colwill,D,2,Aug 7,BHA,@MUN,W 2-1,0.5,1,0
0,Pascal Gross,M,4,Oct 1,BHA,@LIV,T 3-3,3.75,64,1
1,Pascal Gross,M,4,Sep 4,BHA,LEI,W 5-2,22.5,90,1
2,Pascal Gross,M,4,Aug 30,BHA,@FUL,L 1-2,6.35,90,1
3,Pascal Gross,M,4,Aug 27,BHA,LEE,W 1-0,19.25,90,1
4,Pascal Gross,M,4,Aug 21,BHA,@WHU,W 2-0,16.5,90,1
5,Pascal Gross,M,4,Aug 13,BHA,NEW,T 0-0,8.35,90,1
6,Pascal Gross,M,4,Aug 7,BHA,@MUN,W 2-1,23.35,90,1
0,Enock Mwepu,M,4,Sep 4,BHA,LEI,W 5-2,13.75,83,1
1,Enock Mwepu,M,4,Aug 30,BHA,@FUL,L 1-2,3.35,62,1
2,Enock Mwepu,M,4,Aug 27,BHA,LEE,W 1-0,1.25,19,0
3,Enock Mwepu,M,4,Aug 21,BHA,@WHU,W 2-0,2.5,4,0
4,Enock Mwepu,M,4,Aug 13,BHA,NEW,T 0-0,2.5,24,0
5,Enock Mwepu,M,4,Aug 7,BHA,@MUN,W 2-1,4.0,13,0
0,Moises Caicedo,M,4,Oct 1,BHA,@LIV,T 3-3,5.45,90,1
1,Moises Caicedo,M,4,Sep 4,BHA,LEI,W 5-2,18.5,88,1
2,Moises Caicedo,M,4,Aug 30,BHA,@FUL,L 1-2,7.0,78,1
3,Moises Caicedo,M,4,Aug 27,BHA,LEE,W 1-0,11.0,90,1
4,Moises Caicedo,M,4,Aug 21,BHA,@WHU,W 2-0,6.5,90,1
5,Moises Caicedo,M,4,Aug 13,BHA,NEW,T 0-0,13.6,90,1
6,Moises Caicedo,M,4,Aug 7,BHA,@MUN,W 2-1,15.8,90,1
0,Billy Gilmour,M,4,Sep 4,BHA,LEI,W 5-2,0.6,1,0
0,Kaoru Mitoma,M,4,Oct 1,BHA,@LIV,T 3-3,10.85,24,0
1,Kaoru Mitoma,M,4,Aug 30,BHA,@FUL,L 1-2,3.25,26,0
2,Kaoru Mitoma,M,4,Aug 27,BHA,LEE,W 1-0,3.5,10,0
3,Kaoru Mitoma,M,4,Aug 21,BHA,@WHU,W 2-0,0.5,1,0
4,Kaoru Mitoma,M,4,Aug 13,BHA,NEW,T 0-0,5.0,15,0
0,Alexis Mac Allister,M,4,Oct 1,BHA,@LIV,T 3-3,11.6,90,1
1,Alexis Mac Allister,M,4,Sep 4,BHA,LEI,W 5-2,27.5,90,1
2,Alexis Mac Allister,M,4,Aug 30,BHA,@FUL,L 1-2,22.95,90,1
3,Alexis Mac Allister,M,4,Aug 27,BHA,LEE,W 1-0,7.6,90,1
4,Alexis Mac Allister,M,4,Aug 21,BHA,@WHU,W 2-0,20.1,90,1
5,Alexis Mac Allister,M,4,Aug 13,BHA,NEW,T 0-0,9.25,90,1
6,Alexis Mac Allister,M,4,Aug 7,BHA,@MUN,W 2-1,5.0,90,1
0,Adam Lallana,M,4,Oct 1,BHA,@LIV,T 3-3,1.25,13,0
