,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Mark Travers,G,1,Jan 3,BOU,@MUN,L 0-3,7.0,90,1
1,Mark Travers,G,1,Dec 31,BOU,CRY,L 0-2,11.0,90,1
2,Mark Travers,G,1,Dec 27,BOU,@CHE,L 0-2,7.0,90,1
3,Mark Travers,G,1,Nov 12,BOU,EVE,W 3-0,18.0,90,1
4,Mark Travers,G,1,Nov 5,BOU,@LEE,L 3-4,2.0,90,1
5,Mark Travers,G,1,Oct 29,BOU,TOT,L 2-3,8.5,90,1
6,Mark Travers,G,1,Oct 24,BOU,@WHU,L 0-2,3.0,45,0
7,Mark Travers,G,1,Aug 27,BOU,@LIV,L 0-9,5.5,90,1
8,Mark Travers,G,1,Aug 20,BOU,ARS,L 0-3,6.5,90,1
9,Mark Travers,G,1,Aug 13,BOU,@MCI,L 0-4,8.5,90,1
10,Mark Travers,G,1,Aug 6,BOU,AVL,W 2-0,16.0,90,1
0,Neto,G,1,Jan 21,BOU,NOT,T 1-1,10.5,90,1
1,Neto,G,1,Jan 14,BOU,@BRF,L 0-2,3.5,90,1
2,Neto,G,1,Oct 24,BOU,@WHU,L 0-2,3.0,45,1
3,Neto,G,1,Oct 19,BOU,SOU,L 0-1,6.0,90,1
4,Neto,G,1,Oct 15,BOU,@FUL,T 2-2,5.5,90,1
5,Neto,G,1,Oct 8,BOU,LEI,W 2-1,9.0,90,1
6,Neto,G,1,Oct 1,BOU,BRF,T 0-0,18.5,90,1
7,Neto,G,1,Sep 17,BOU,@NEW,T 1-1,14.0,90,1
8,Neto,G,1,Sep 3,BOU,@NOT,W 3-2,2.0,90,1
9,Neto,G,1,Aug 31,BOU,WOL,T 0-0,16.5,90,1
0,Adam Smith,D,2,Jan 21,BOU,NOT,T 1-1,6.2,90,1
1,Adam Smith,D,2,Jan 3,BOU,@MUN,L 0-3,2.85,62,1
2,Adam Smith,D,2,Dec 31,BOU,CRY,L 0-2,6.0,90,1
3,Adam Smith,D,2,Dec 27,BOU,@CHE,L 0-2,4.45,90,1
4,Adam Smith,D,2,Nov 12,BOU,EVE,W 3-0,18.7,90,1
5,Adam Smith,D,2,Nov 5,BOU,@LEE,L 3-4,4.55,90,1
6,Adam Smith,D,2,Oct 29,BOU,TOT,L 2-3,11.75,90,1
7,Adam Smith,D,2,Oct 24,BOU,@WHU,L 0-2,4.75,90,1
8,Adam Smith,D,2,Oct 19,BOU,SOU,L 0-1,9.0,90,1
9,Adam Smith,D,2,Oct 15,BOU,@FUL,T 2-2,6.7,90,1
10,Adam Smith,D,2,Oct 8,BOU,LEI,W 2-1,9.7,90,1
11,Adam Smith,D,2,Oct 1,BOU,BRF,T 0-0,16.85,90,1
12,Adam Smith,D,2,Sep 17,BOU,@NEW,T 1-1,5.95,90,1
13,Adam Smith,D,2,Sep 3,BOU,@NOT,W 3-2,6.55,90,1
14,Adam Smith,D,2,Aug 31,BOU,WOL,T 0-0,16.6,90,1
