,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Keylor Navas,G,1,Feb 5,NOT,LEE,W 1-0,18.5,90,1
0,Dean Henderson,G,1,Jan 14,NOT,LEI,W 2-0,15.0,90,1
1,Dean Henderson,G,1,Jan 4,NOT,@SOU,W 1-0,13.0,90,1
2,Dean Henderson,G,1,Jan 1,NOT,CHE,T 1-1,4.5,90,1
3,Dean Henderson,G,1,Nov 12,NOT,CRY,W 1-0,12.5,90,1
4,Dean Henderson,G,1,Nov 5,NOT,BRF,T 2-2,0.5,90,1
5,Dean Henderson,G,1,Oct 30,NOT,@ARS,L 0-5,7.0,90,1
6,Dean Henderson,G,1,Oct 22,NOT,LIV,W 1-0,22.5,90,1
7,Dean Henderson,G,1,Oct 18,NOT,@BHA,T 0-0,24.0,90,1
8,Dean Henderson,G,1,Oct 15,NOT,@WOL,L 0-1,4.5,90,1
9,Dean Henderson,G,1,Oct 10,NOT,AVL,T 1-1,4.5,90,1
10,Dean Henderson,G,1,Oct 3,NOT,@LEI,L 0-4,7.5,90,1
11,Dean Henderson,G,1,Sep 16,NOT,FUL,L 2-3,8.5,90,1
12,Dean Henderson,G,1,Sep 3,NOT,BOU,L 2-3,2.5,90,1
13,Dean Henderson,G,1,Aug 31,NOT,@MCI,L 0-6,6.0,90,1
14,Dean Henderson,G,1,Aug 28,NOT,TOT,L 0-2,14.0,90,1
15,Dean Henderson,G,1,Aug 20,NOT,@EVE,T 1-1,15.5,90,1
16,Dean Henderson,G,1,Aug 14,NOT,WHU,W 1-0,22.0,90,1
17,Dean Henderson,G,1,Aug 6,NOT,@NEW,L 0-2,14.0,90,1
0,Wayne Hennessey,G,1,Jan 21,NOT,@BOU,T 1-1,6.5,90,1
1,Wayne Hennessey,G,1,Dec 27,NOT,@MUN,L 0-3,10.0,90,1
0,Neco Williams,D,2,Feb 5,NOT,LEE,W 1-0,17.05,88,1
1,Neco Williams,D,2,Jan 21,NOT,@BOU,T 1-1,1.25,14,0
2,Neco Williams,D,2,Jan 14,NOT,LEI,W 2-0,1.0,3,0
3,Neco Williams,D,2,Jan 4,NOT,@SOU,W 1-0,1.25,5,0
4,Neco Williams,D,2,Jan 1,NOT,CHE,T 1-1,1.1,1,0
5,Neco Williams,D,2,Dec 27,NOT,@MUN,L 0-3,5.1,15,0
6,Neco Williams,D,2,Nov 12,NOT,CRY,W 1-0,1.1,3,0
7,Neco Williams,D,2,Nov 5,NOT,BRF,T 2-2,12.5,90,1
8,Neco Williams,D,2,Oct 30,NOT,@ARS,L 0-5,4.6,25,0
9,Neco Williams,D,2,Oct 22,NOT,LIV,W 1-0,14.6,72,1
10,Neco Williams,D,2,Oct 18,NOT,@BHA,T 0-0,19.45,90,1
11,Neco Williams,D,2,Oct 15,NOT,@WOL,L 0-1,9.25,90,1
12,Neco Williams,D,2,Oct 10,NOT,AVL,T 1-1,5.0,31,0
13,Neco Williams,D,2,Oct 3,NOT,@LEI,L 0-4,7.45,45,1
14,Neco Williams,D,2,Sep 16,NOT,FUL,L 2-3,4.25,87,1
15,Neco Williams,D,2,Sep 3,NOT,BOU,L 2-3,13.35,90,1
16,Neco Williams,D,2,Aug 31,NOT,@MCI,L 0-6,16.35,90,1
17,Neco Williams,D,2,Aug 28,NOT,TOT,L 0-2,10.0,90,1
18,Neco Williams,D,2,Aug 20,NOT,@EVE,T 1-1,10.6,90,1
19,Neco Williams,D,2,Aug 14,NOT,WHU,W 1-0,23.15,90,1
20,Neco Williams,D,2,Aug 6,NOT,@NEW,L 0-2,10.05,90,1
0,Serge Aurier,D,2,Feb 5,NOT,LEE,W 1-0,4.25,45,0
1,Serge Aurier,D,2,Jan 21,NOT,@BOU,T 1-1,10.7,74,1
2,Serge Aurier,D,2,Jan 14,NOT,LEI,W 2-0,22.35,90,1
3,Serge Aurier,D,2,Jan 4,NOT,@SOU,W 1-0,21.6,90,1
4,Serge Aurier,D,2,Jan 1,NOT,CHE,T 1-1,15.05,90,1
5,Serge Aurier,D,2,Dec 27,NOT,@MUN,L 0-3,6.3,73,1
6,Serge Aurier,D,2,Nov 12,NOT,CRY,W 1-0,17.5,90,1
7,Serge Aurier,D,2,Nov 5,NOT,BRF,T 2-2,7.95,90,1
8,Serge Aurier,D,2,Oct 30,NOT,@ARS,L 0-5,8.0,90,1
9,Serge Aurier,D,2,Oct 22,NOT,LIV,W 1-0,18.0,90,1
10,Serge Aurier,D,2,Oct 18,NOT,@BHA,T 0-0,12.85,68,1
11,Serge Aurier,D,2,Oct 10,NOT,AVL,T 1-1,4.8,57,1
12,Serge Aurier,D,2,Oct 3,NOT,@LEI,L 0-4,6.75,45,0
0,Joe Worrall,D,2,Jan 21,NOT,@BOU,T 1-1,7.2,90,1
1,Joe Worrall,D,2,Jan 14,NOT,LEI,W 2-0,14.6,90,1
2,Joe Worrall,D,2,Jan 4,NOT,@SOU,W 1-0,14.35,90,1
3,Joe Worrall,D,2,Jan 1,NOT,CHE,T 1-1,6.4,90,1
4,Joe Worrall,D,2,Dec 27,NOT,@MUN,L 0-3,6.65,90,1
5,Joe Worrall,D,2,Nov 12,NOT,CRY,W 1-0,18.85,90,1
6,Joe Worrall,D,2,Oct 30,NOT,@ARS,L 0-5,2.55,25,0
7,Joe Worrall,D,2,Oct 22,NOT,LIV,W 1-0,-0.9,25,0
8,Joe Worrall,D,2,Oct 18,NOT,@BHA,T 0-0,2.0,3,0
9,Joe Worrall,D,2,Sep 16,NOT,FUL,L 2-3,3.5,26,0
10,Joe Worrall,D,2,Sep 3,NOT,BOU,L 2-3,8.4,90,1
11,Joe Worrall,D,2,Aug 31,NOT,@MCI,L 0-6,3.95,90,1
12,Joe Worrall,D,2,Aug 28,NOT,TOT,L 0-2,8.85,90,1
13,Joe Worrall,D,2,Aug 20,NOT,@EVE,T 1-1,6.95,90,1
14,Joe Worrall,D,2,Aug 14,NOT,WHU,W 1-0,14.95,90,1
15,Joe Worrall,D,2,Aug 6,NOT,@NEW,L 0-2,4.3,90,1
0,Moussa Niakhate,D,2,Aug 14,NOT,WHU,W 1-0,16.2,78,1
1,Moussa Niakhate,D,2,Aug 6,NOT,@NEW,L 0-2,5.85,82,1
0,Steve Cook,D,2,Nov 5,NOT,BRF,T 2-2,5.2,88,1
1,Steve Cook,D,2,Oct 30,NOT,@ARS,L 0-5,5.95,90,1
2,Steve Cook,D,2,Oct 22,NOT,LIV,W 1-0,14.95,90,1
3,Steve Cook,D,2,Oct 18,NOT,@BHA,T 0-0,12.45,90,1
4,Steve Cook,D,2,Oct 15,NOT,@WOL,L 0-1,7.0,90,1
5,Steve Cook,D,2,Oct 10,NOT,AVL,T 1-1,3.65,90,1
6,Steve Cook,D,2,Oct 3,NOT,@LEI,L 0-4,5.6,90,1
7,Steve Cook,D,2,Sep 16,NOT,FUL,L 2-3,3.05,62,1
8,Steve Cook,D,2,Sep 3,NOT,BOU,L 2-3,4.75,90,1
9,Steve Cook,D,2,Aug 28,NOT,TOT,L 0-2,8.5,74,1
10,Steve Cook,D,2,Aug 20,NOT,@EVE,T 1-1,9.6,90,1
11,Steve Cook,D,2,Aug 14,NOT,WHU,W 1-0,2.05,10,0
0,Willy Boly,D,2,Feb 5,NOT,LEE,W 1-0,18.15,90,1
1,Willy Boly,D,2,Jan 21,NOT,@BOU,T 1-1,8.35,74,1
2,Willy Boly,D,2,Jan 4,NOT,@SOU,W 1-0,15.2,90,1
3,Willy Boly,D,2,Jan 1,NOT,CHE,T 1-1,18.0,90,1
4,Willy Boly,D,2,Dec 27,NOT,@MUN,L 0-3,8.6,90,1
5,Willy Boly,D,2,Nov 12,NOT,CRY,W 1-0,13.25,90,1
6,Willy Boly,D,2,Sep 16,NOT,FUL,L 2-3,1.15,62,1
0,Scott McKenna,D,2,Feb 5,NOT,LEE,W 1-0,15.95,90,1
1,Scott McKenna,D,2,Jan 21,NOT,@BOU,T 1-1,1.7,14,0
2,Scott McKenna,D,2,Jan 14,NOT,LEI,W 2-0,14.65,90,1
3,Scott McKenna,D,2,Nov 5,NOT,BRF,T 2-2,6.1,90,1
4,Scott McKenna,D,2,Oct 30,NOT,@ARS,L 0-5,5.85,90,1
5,Scott McKenna,D,2,Oct 22,NOT,LIV,W 1-0,16.5,90,1
6,Scott McKenna,D,2,Oct 18,NOT,@BHA,T 0-0,14.5,90,1
7,Scott McKenna,D,2,Oct 15,NOT,@WOL,L 0-1,4.5,90,1
8,Scott McKenna,D,2,Oct 10,NOT,AVL,T 1-1,8.25,90,1
9,Scott McKenna,D,2,Oct 3,NOT,@LEI,L 0-4,3.55,90,1
10,Scott McKenna,D,2,Sep 16,NOT,FUL,L 2-3,4.85,90,1
11,Scott McKenna,D,2,Sep 3,NOT,BOU,L 2-3,6.7,90,1
12,Scott McKenna,D,2,Aug 31,NOT,@MCI,L 0-6,5.25,90,1
13,Scott McKenna,D,2,Aug 28,NOT,TOT,L 0-2,7.3,90,1
14,Scott McKenna,D,2,Aug 20,NOT,@EVE,T 1-1,5.95,90,1
15,Scott McKenna,D,2,Aug 14,NOT,WHU,W 1-0,12.9,90,1
16,Scott McKenna,D,2,Aug 6,NOT,@NEW,L 0-2,8.65,90,1
0,Giulian Biancone,D,2,Oct 18,NOT,@BHA,T 0-0,2.75,3,0
1,Giulian Biancone,D,2,Aug 31,NOT,@MCI,L 0-6,3.0,11,0
0,Harry Toffolo,D,2,Jan 4,NOT,@SOU,W 1-0,1.85,5,0
