,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Jose Sa,G,1,Oct 8,WOL,@CHE,L 0-3,8.0,90,1
1,Jose Sa,G,1,Oct 1,WOL,@WHU,L 0-2,7.0,90,1
2,Jose Sa,G,1,Sep 17,WOL,MCI,L 0-3,9.0,90,1
3,Jose Sa,G,1,Sep 3,WOL,SOU,W 1-0,15.0,90,1
4,Jose Sa,G,1,Aug 31,WOL,@BOU,T 0-0,15.0,90,1
5,Jose Sa,G,1,Aug 28,WOL,NEW,T 1-1,12.0,90,1
6,Jose Sa,G,1,Aug 20,WOL,@TOT,L 0-1,8.0,90,1
7,Jose Sa,G,1,Aug 13,WOL,FUL,T 0-0,21.5,90,1
8,Jose Sa,G,1,Aug 6,WOL,@LEE,L 1-2,7.0,90,1
0,Jonny,D,2,Oct 8,WOL,@CHE,L 0-3,3.95,71,1
1,Jonny,D,2,Oct 1,WOL,@WHU,L 0-2,8.2,90,1
2,Jonny,D,2,Sep 17,WOL,MCI,L 0-3,7.35,90,1
3,Jonny,D,2,Sep 3,WOL,SOU,W 1-0,17.7,90,1
4,Jonny,D,2,Aug 31,WOL,@BOU,T 0-0,13.6,90,1
5,Jonny,D,2,Aug 28,WOL,NEW,T 1-1,5.7,90,1
6,Jonny,D,2,Aug 20,WOL,@TOT,L 0-1,6.9,90,1
7,Jonny,D,2,Aug 13,WOL,FUL,T 0-0,16.55,77,1
8,Jonny,D,2,Aug 6,WOL,@LEE,L 1-2,10.75,90,1
0,Nathan Collins,D,2,Sep 17,WOL,MCI,L 0-3,-0.9,32,1
1,Nathan Collins,D,2,Sep 3,WOL,SOU,W 1-0,17.2,90,1
2,Nathan Collins,D,2,Aug 31,WOL,@BOU,T 0-0,16.65,90,1
3,Nathan Collins,D,2,Aug 28,WOL,NEW,T 1-1,9.2,90,1
4,Nathan Collins,D,2,Aug 20,WOL,@TOT,L 0-1,5.7,90,1
5,Nathan Collins,D,2,Aug 13,WOL,FUL,T 0-0,15.85,90,1
6,Nathan Collins,D,2,Aug 6,WOL,@LEE,L 1-2,7.1,90,1
0,Max Kilman,D,2,Oct 8,WOL,@CHE,L 0-3,5.35,90,1
1,Max Kilman,D,2,Oct 1,WOL,@WHU,L 0-2,9.7,90,1
2,Max Kilman,D,2,Sep 17,WOL,MCI,L 0-3,2.95,90,1
3,Max Kilman,D,2,Sep 3,WOL,SOU,W 1-0,15.9,90,1
4,Max Kilman,D,2,Aug 31,WOL,@BOU,T 0-0,16.9,90,1
5,Max Kilman,D,2,Aug 28,WOL,NEW,T 1-1,8.05,90,1
6,Max Kilman,D,2,Aug 20,WOL,@TOT,L 0-1,7.85,90,1
7,Max Kilman,D,2,Aug 13,WOL,FUL,T 0-0,15.4,90,1
8,Max Kilman,D,2,Aug 6,WOL,@LEE,L 1-2,10.6,90,1
0,Toti,D,2,Oct 8,WOL,@CHE,L 0-3,5.75,90,1
0,Nelson Semedo,"D,M",3,Oct 8,WOL,@CHE,L 0-3,5.3,90,1
1,Nelson Semedo,"D,M",3,Oct 1,WOL,@WHU,L 0-2,5.0,72,1
2,Nelson Semedo,"D,M",3,Sep 17,WOL,MCI,L 0-3,2.75,8,0
3,Nelson Semedo,"D,M",3,Aug 31,WOL,@BOU,T 0-0,9.5,59,1
4,Nelson Semedo,"D,M",3,Aug 28,WOL,NEW,T 1-1,9.55,90,1
5,Nelson Semedo,"D,M",3,Aug 20,WOL,@TOT,L 0-1,5.0,18,0
6,Nelson Semedo,"D,M",3,Aug 13,WOL,FUL,T 0-0,1.75,11,0
0,Rayan Ait-Nouri,"D,M",3,Oct 8,WOL,@CHE,L 0-3,1.5,17,0
1,Rayan Ait-Nouri,"D,M",3,Oct 1,WOL,@WHU,L 0-2,10.35,90,1
2,Rayan Ait-Nouri,"D,M",3,Sep 17,WOL,MCI,L 0-3,7.1,80,1
3,Rayan Ait-Nouri,"D,M",3,Sep 3,WOL,SOU,W 1-0,18.35,90,1
4,Rayan Ait-Nouri,"D,M",3,Aug 31,WOL,@BOU,T 0-0,2.5,29,0
5,Rayan Ait-Nouri,"D,M",3,Aug 20,WOL,@TOT,L 0-1,4.45,70,1
6,Rayan Ait-Nouri,"D,M",3,Aug 13,WOL,FUL,T 0-0,15.45,90,1
7,Rayan Ait-Nouri,"D,M",3,Aug 6,WOL,@LEE,L 1-2,9.0,90,1
0,Boubacar Traore,M,4,Oct 1,WOL,@WHU,L 0-2,4.25,16,0
1,Boubacar Traore,M,4,Sep 17,WOL,MCI,L 0-3,4.0,19,0
0,Joao Moutinho,M,4,Oct 8,WOL,@CHE,L 0-3,15.7,90,1
1,Joao Moutinho,M,4,Oct 1,WOL,@WHU,L 0-2,6.0,90,1
2,Joao Moutinho,M,4,Sep 17,WOL,MCI,L 0-3,7.85,90,1
3,Joao Moutinho,M,4,Sep 3,WOL,SOU,W 1-0,7.35,90,1
4,Joao Moutinho,M,4,Aug 31,WOL,@BOU,T 0-0,11.1,90,1
5,Joao Moutinho,M,4,Aug 28,WOL,NEW,T 1-1,9.5,88,1
6,Joao Moutinho,M,4,Aug 20,WOL,@TOT,L 0-1,8.75,57,1
0,Joseph Hodge,M,4,Oct 8,WOL,@CHE,L 0-3,2.75,45,0
0,Ruben Neves,M,4,Oct 1,WOL,@WHU,L 0-2,6.1,90,1
1,Ruben Neves,M,4,Sep 17,WOL,MCI,L 0-3,8.6,90,1
2,Ruben Neves,M,4,Sep 3,WOL,SOU,W 1-0,6.35,90,1
3,Ruben Neves,M,4,Aug 31,WOL,@BOU,T 0-0,12.95,90,1
4,Ruben Neves,M,4,Aug 28,WOL,NEW,T 1-1,20.1,90,1
5,Ruben Neves,M,4,Aug 20,WOL,@TOT,L 0-1,15.6,90,1
6,Ruben Neves,M,4,Aug 13,WOL,FUL,T 0-0,10.85,90,1
7,Ruben Neves,M,4,Aug 6,WOL,@LEE,L 1-2,15.25,90,1
0,Matheus Nunes,M,4,Oct 8,WOL,@CHE,L 0-3,10.35,90,1
1,Matheus Nunes,M,4,Oct 1,WOL,@WHU,L 0-2,7.5,71,1
2,Matheus Nunes,M,4,Sep 17,WOL,MCI,L 0-3,7.55,90,1
3,Matheus Nunes,M,4,Sep 3,WOL,SOU,W 1-0,18.05,90,1
4,Matheus Nunes,M,4,Aug 31,WOL,@BOU,T 0-0,6.6,74,1
5,Matheus Nunes,M,4,Aug 28,WOL,NEW,T 1-1,7.7,90,1
6,Matheus Nunes,M,4,Aug 20,WOL,@TOT,L 0-1,8.25,90,1
0,Daniel Podence,"M,F",5,Oct 8,WOL,@CHE,L 0-3,3.35,90,1
1,Daniel Podence,"M,F",5,Oct 1,WOL,@WHU,L 0-2,9.25,90,1
2,Daniel Podence,"M,F",5,Sep 17,WOL,MCI,L 0-3,5.5,69,1
3,Daniel Podence,"M,F",5,Sep 3,WOL,SOU,W 1-0,19.0,81,1
4,Daniel Podence,"M,F",5,Aug 31,WOL,@BOU,T 0-0,4.0,14,0
5,Daniel Podence,"M,F",5,Aug 28,WOL,NEW,T 1-1,1.25,6,0
6,Daniel Podence,"M,F",5,Aug 20,WOL,@TOT,L 0-1,8.5,58,1
7,Daniel Podence,"M,F",5,Aug 13,WOL,FUL,T 0-0,4.0,90,1
8,Daniel Podence,"M,F",5,Aug 6,WOL,@LEE,L 1-2,19.0,90,1
0,Chem Campbell,"M,F",5,Oct 8,WOL,@CHE,L 0-3,1.0,17,0
1,Chem Campbell,"M,F",5,Oct 1,WOL,@WHU,L 0-2,3.5,17,0
2,Chem Campbell,"M,F",5,Sep 17,WOL,MCI,L 0-3,1.0,3,0
3,Chem Campbell,"M,F",5,Aug 6,WOL,@LEE,L 1-2,0.75,4,0
0,Pedro Neto,F,6,Oct 1,WOL,@WHU,L 0-2,1.75,23,1
1,Pedro Neto,F,6,Sep 17,WOL,MCI,L 0-3,6.75,85,1
2,Pedro Neto,F,6,Sep 3,WOL,SOU,W 1-0,9.0,81,1
3,Pedro Neto,F,6,Aug 31,WOL,@BOU,T 0-0,11.75,90,1
4,Pedro Neto,F,6,Aug 28,WOL,NEW,T 1-1,5.5,83,1
5,Pedro Neto,F,6,Aug 20,WOL,@TOT,L 0-1,6.1,70,1
6,Pedro Neto,F,6,Aug 13,WOL,FUL,T 0-0,6.75,78,1
7,Pedro Neto,F,6,Aug 6,WOL,@LEE,L 1-2,17.25,90,1
0,Hwang Hee-Chan,F,6,Oct 8,WOL,@CHE,L 0-3,2.75,33,0
1,Hwang Hee-Chan,F,6,Sep 17,WOL,MCI,L 0-3,1.25,19,0
2,Hwang Hee-Chan,F,6,Sep 3,WOL,SOU,W 1-0,0.75,7,0
