player,pre,club_pos_id
Aaron Ramsdale,10.6,1
Takehiro Tomiyasu,12.7,2
Cedric Soares,11.95,3
Ben White,11,4
William Saliba,11,5
Rob Holding,10.75,6
Gabriel Magalhaes,11.35,7
Kieran Tierney,13.1,8
Oleksandr Zinchenko,15.5,9
Mohamed Elneny,11.6,10
Thomas Partey,11.95,11
Jorginho,13.15,12
Granit Xhaka,9.05,13
Fabio Vieira,10.9,14
Ethan Nwaneri,10.5,15
Martin Odegaard,12.75,16
Emile Smith Rowe,15.75,17
Bukayo Saka,15.25,18
Gabriel Martinelli,16.25,19
Leandro Trossard,12.3,20
Marquinhos,14.75,21
Gabriel Jesus,16.9,22
Eddie Nketiah,14.8,23
Reiss Nelson,12.9,24
Emiliano Martinez,9.7,1
Robin Olsen,5.5,2
Matty Cash,13.2,3
Calum Chambers,11.5,4
Tyrone Mings,10.55,5
Ezri Konsa,8.8,6
Diego Carlos,11.4,7
Lucas Digne,12.3,8
Alex Moreno,12,9
Ludwig Augustinsson,11.3,10
Ashley Young,10.5,11
Douglas Luiz,11.15,12
Boubacar Kamara,12.65,13
Leander Dendoncker,10,14
Morgan Sanson,15.25,15
John McGinn,12.9,16
Jacob Ramsey,11.8,17
Philippe Coutinho,16,18
Emiliano Buendia,15.75,19
Leon Bailey,13.85,20
Ollie Watkins,11.2,21
Cameron Archer,6.35,22
Jhon Duran,7.5,23
Robert Sanchez,10,1
Tariq Lamptey,14.25,2
Joel Veltman,11.9,3
Lewis Dunk,10.4,4
Adam Webster,10.8,5
Jan-Paul van Hecke,11,6
Pervis Estupinan,12.6,7
Levi Colwill,12.6,8
Enock Mwepu,14.5,9
Moises Caicedo,12.9,10
Billy Gilmour,10.7,11
Andrew Moran,10,12
Kaoru Mitoma,11.6,13
Alexis Mac Allister,13.4,14
Adam Lallana,9.85,15
Solly March,13.85,16
Pascal Gross,13.75,17
Danny Welbeck,13.15,18
Deniz Undav,8.95,19
Jeremy Sarmiento,12,20
Julio Enciso,11.5,21
Evan Ferguson,11.05,22
Facundo Buonanotte,11,23
Mark Travers,8.75,1
Neto,9.75,2
Adam Smith,11.35,3
Jack Stacey,8.45,4
Ryan Fredericks,6.6,5
Matias Vina,7.6,6
Chris Mepham,9.95,7
Lloyd Kelly,12.15,8
Jack Stephens,10.8,9
Owen Bevan,10.3,10
Marcos Senesi,11.1,11
Jordan Zemura,14.25,12
Jefferson Lerma,10.3,13
Ben Pearson,9.55,14
Lewis Cook,10.75,15
Joe Rothwell,10.5,16
Siriki Dembele,12.6,17
Philip Billing,11.55,18
Marcus Tavernier,11.75,19
Ryan Christie,12.3,20
Emiliano Marcondes,13.05,21
Junior Stanislas,11.35,22
Hamed Traore,11.35,23
Jaidon Anthony,14.8,24
Kiefer Moore,14.9,25
Dominic Solanke,15.6,26
Jamal Lowe,14.75,27
Dango Ouattara,13.75,28
Antoine Semenyo,12.75,29
David Raya,11.45,1
Aaron Hickey,10.85,2
Mads Roerslav,9.8,3
Mads Bech Sorensen,8.4,4
Kristoffer Ajer,11.9,5
Pontus Jansson,10.65,6
Zanka,10.05,7
Ben Mee,12.25,8
Ethan Pinnock,12.1,9
Rico Henry,11.6,10
Shandon Baptiste,12.55,11
Frank Onyeka,11.7,12
Vitaly Janelt,12,13
Christian Norgaard,12.8,14
Mathias Jensen,13.1,15
Pelenda Joshua Da Silva,10.65,16
Kevin Schade,10.5,17
Mikkel Damsgaard,12.65,18
Sergi Canos,12.3,19
Yoane Wissa,15.3,20
Bryan Mbeumo,10.3,21
Keane Lewis-Potter,12.8,22
Saman Ghoddos,15.05,23
Halil Dervisoglu,12.6,24
Ivan Toney,13.05,25
Edouard Mendy,10.25,1
Kepa Arrizabalaga,12.6,2
Cesar Azpilicueta,12.75,3
Thiago Silva,13.5,4
Kalidou Koulibaly,12.35,5
Benoit Badiashile,12,6
Trevoh Chalobah,15.95,7
Wesley Fofana,9.95,8
Ben Chilwell,18.5,9
